id,predicted
1073381,37 39 41
1073535,60 26 25
1073588,70 83 59
1073712,86 24 74
1073747,89 66 34
1073854,56 57 47
1074074,25 26 8
1074156,83 35 41
1074184,42 40 61
1074195,97 0 5
1074229,33 97 50
1074303,43 5 98
1074352,86 97 33
1074384,47 1 39
1074425,7 74 46
1074455,91 99 54
1074478,83 35 41
1074499,48 16 36
1074661,51 100 64
1074693,49 99 37
1074877,2 0 65
1074897,92 95 87
1074954,36 43 33
1074967,55 50 32
1075038,0 67 2
1075326,78 97 73
1075366,6 97 33
1075390,51 64 99
1075394,98 86 5
1075484,82 95 94
1075574,42 2 16
1075756,73 47 76
1075869,93 41 56
1075974,7 41 24
1076055,93 62 41
1076090,85 42 15
1076126,37 74 97
1076142,47 68 39
1076145,49 47 2
1076198,82 95 96
1076275,42 12 43
1076309,86 24 7
1076442,49 30 50
1076536,23 2 80
1076624,15 2 47
1076675,58 65 51
1076719,13 41 89
1076763,23 2 16
1076770,72 46 98
1076816,15 2 19
1076900,31 44 66
1077019,35 83 41
1077104,82 95 80
1077109,12 42 16
1077188,49 55 98
1077228,37 39 8
1077343,66 1 31
1077362,94 88 80
1077392,71 4 33
1077398,89 88 83
1077400,50 60 15
1077408,42 85 12
1077502,64 51 54
1077633,93 41 44
1077647,79 71 0
1077836,100 64 92
1077885,65 58 89
1077970,41 5 24
1077978,100 1 31
1078000,41 83 35
1078066,1 31 100
1078141,7 86 33
1078155,93 38 83
1078176,93 41 83
1078232,9 46 79
1078343,15 2 16
1078429,42 27 101
1078508,48 40 36
1078697,24 5 74
1078872,102 3 90
1078897,80 88 44
1079138,56 51 57
1079323,97 2 86
1079407,19 63 20
1079415,77 76 71
1079495,30 33 97
1079629,34 44 65
1079739,70 48 68
1079800,49 99 30
1079818,47 35 48
1079829,65 5 88
1079837,69 3 33
1079843,64 51 82
1079910,80 95 88
1079941,58 65 8
1079961,47 68 40
1079981,58 65 24
1080015,41 88 34
1080021,33 30 40
1080111,40 2 97
1080199,51 64 82
1080338,37 41 74
1080371,76 73 77
1080392,42 40 2
1080509,74 24 5
1080559,83 35 93
1080571,82 95 94
1080615,63 47 1
1080673,5 0 98
1080736,44 66 34
1080755,86 24 98
1080783,4 71 72
1080839,33 72 42
1080899,41 24 31
1080952,78 65 59
1080956,0 67 2
1081049,70 5 65
1081176,41 5 24
1081296,34 66 44
1081367,42 16 12
1081435,91 54 99
1081443,1 31 39
1081520,13 42 92
1081539,35 83 85
1081541,2 47 37
1081557,10 36 43
1081558,6 97 68
1082358,58 65 59
1082489,12 2 42
1082573,66 44 31
1082578,41 24 83
1082694,53 54 41
1082800,53 54 41
1082825,79 73 71
1082938,51 64 41
1082953,100 1 61
1083045,78 44 20
1083085,95 80 82
1083110,35 83 85
1083179,102 2 3
1083339,76 59 77
1083417,37 41 39
1083589,98 5 86
1083663,55 50 47
1083670,18 17 19
1083705,85 35 2
1083850,12 42 51
1083975,51 64 82
1084081,66 1 31
1084103,78 74 46
1084145,45 39 54
1084258,91 54 92
1084280,50 2 63
1084335,83 35 67
1084400,7 5 15
1084411,93 44 83
1084537,33 30 38
1084580,37 21 39
1084600,100 96 64
1084607,97 2 65
1084760,24 98 86
1084768,101 54 53
1084968,35 83 44
1085243,18 19 20
1085328,98 24 74
1085402,41 24 83
1085456,6 0 8
1085611,42 40 61
1085638,55 15 50
1085697,4 33 71
1085808,48 42 14
1085809,82 95 94
1085841,83 35 59
1085955,9 79 75
1086053,58 65 59
1086111,68 29 30
1086134,18 19 45
1086147,86 97 5
1086207,35 83 89
1086224,15 94 88
1086251,3 78 45
1086332,79 2 73
1086398,2 0 41
1086404,22 39 12
1086669,86 7 98
1086710,5 24 74
1086716,78 74 17
1086746,35 83 57
1086831,34 44 1
1087011,100 1 31
1087038,93 41 83
1087090,43 102 88
1087094,66 31 56
1087127,69 59 27
1087143,42 61 12
1087250,0 67 43
1087273,34 44 13
1087277,97 65 58
1087303,75 6 71
1087449,93 41 83
1087500,23 2 102
1087630,12 42 51
1087683,74 24 5
1087730,17 80 52
1087743,31 1 66
1087749,73 76 77
1087890,51 64 82
1088051,81 2 31
1088082,23 2 67
1088178,0 67 2
1088218,15 2 16
1088288,94 18 33
1088299,89 88 95
1088317,87 101 92
1088330,2 80 23
1088469,44 34 0
1088612,82 95 64
1088632,86 24 5
1088748,83 35 41
1088839,31 1 45
1088937,37 41 93
1088957,97 5 65
1088992,37 39 88
1089071,42 6 40
1089098,39 37 22
1089155,30 2 49
1089165,46 40 9
1089200,37 89 88
1089242,66 31 1
1089258,5 41 24
1089313,4 72 33
1089355,66 1 31
1089367,75 71 79
1089380,86 7 6
1089401,97 40 5
1089530,83 41 56
1089564,65 58 67
1089578,97 6 65
1089657,41 24 5
1089667,4 33 71
1089734,2 0 67
1089842,21 17 55
1089922,5 24 97
1090079,55 50 38
1090242,86 98 7
1090352,66 1 44
1090370,11 46 9
1090457,43 12 36
1090508,83 35 67
1090549,41 83 93
1090672,79 73 75
1090885,41 24 5
1090938,63 19 55
1090960,57 3 56
1091074,84 9 11
1091078,36 11 9
1091199,66 31 1
1091261,41 2 88
1091265,36 11 46
1091291,42 40 86
1091362,17 80 46
1091377,36 11 43
1091526,21 17 37
1091548,86 97 37
1091833,98 86 24
1091836,18 19 17
1091841,57 96 56
1091876,2 0 47
1092002,93 41 39
1092115,21 30 17
1092158,10 40 78
1092259,65 58 59
1092341,37 89 86
1092348,102 12 3
1092356,0 67 2
1092411,29 30 88
1092471,68 97 29
1092489,98 24 5
1092715,93 41 83
1092736,12 42 17
1092855,42 40 33
1092934,83 41 93
1092946,84 2 0
1093144,2 88 23
1093148,51 64 82
1093177,83 35 89
1093209,56 57 82
1093347,41 83 24
1093460,6 3 97
1093481,21 55 41
1093592,37 41 93
1093629,18 17 19
1093725,38 57 56
1093743,83 41 35
1093803,15 16 55
1093839,92 18 14
1093887,70 5 97
1093902,93 41 24
1093947,101 102 40
1093996,49 30 55
1094013,38 49 76
1094066,101 39 38
1094121,4 72 71
1094347,95 83 94
1094375,57 3 89
1094413,29 74 76
1094504,86 24 6
1094513,74 24 86
1094579,87 92 101
1094685,37 21 39
1094707,67 0 65
1094749,6 30 97
1094755,93 41 83
1094774,50 33 15
1094859,41 5 24
1094868,71 4 72
